id,wbs,name,phase,work_package,duration,remaining,percent_complete,actual_start,actual_finish,constraint,constraint_date,notes,low_factor,high_factor,baseline_start,baseline_finish,current_start,current_finish
T138,5.4.2,Operator training: Prepare deliverables,Delivery,Operator training,14,14,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-05-20,2027-06-09,2027-06-15,2027-07-05
T139,5.4.3,Operator training: Verify acceptance,Delivery,Operator training,10,10,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-06-09,2027-06-23,2027-07-05,2027-07-19
T140,5.4.4,Operator training: Close actions,Delivery,Operator training,7,7,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-06-23,2027-07-02,2027-07-19,2027-07-28
T141,5.4.5,Operator training: Acceptance gate,Delivery,Operator training,0,0,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-07-02,2027-07-02,2027-07-28,2027-07-28
T142,5.5.1,Transfer preparation: Plan handover,Delivery,Transfer preparation,9,9,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-07-07,2027-07-20,2027-08-02,2027-08-13
T143,5.5.2,Transfer preparation: Prepare deliverables,Delivery,Transfer preparation,15,15,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-07-09,2027-07-30,2027-08-04,2027-08-25
T144,5.5.3,Transfer preparation: Verify acceptance,Delivery,Transfer preparation,11,11,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-07-30,2027-08-16,2027-08-25,2027-09-09
T145,5.5.4,Transfer preparation: Close actions,Delivery,Transfer preparation,8,8,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-08-16,2027-08-26,2027-09-09,2027-09-21
T146,5.5.5,Transfer preparation: Acceptance gate,Delivery,Transfer preparation,0,0,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-08-26,2027-08-26,2027-09-21,2027-09-21
T147,5.6.1,Program closeout: Plan handover,Delivery,Program closeout,10,10,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-07-02,2027-07-16,2027-07-28,2027-08-11
T148,5.6.2,Program closeout: Prepare deliverables,Delivery,Program closeout,16,16,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-07-06,2027-07-28,2027-07-30,2027-08-23
T149,5.6.3,Program closeout: Verify acceptance,Delivery,Program closeout,12,12,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-07-28,2027-08-13,2027-08-23,2027-09-08
T150,5.6.4,Program closeout: Close actions,Delivery,Program closeout,9,9,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-08-13,2027-08-26,2027-09-08,2027-09-21
T151,5.6.5,Program closeout: Acceptance gate,Delivery,Program closeout,0,0,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-08-26,2027-08-26,2027-09-21,2027-09-21
T152,6,Final demonstrator acceptance,Program,Final acceptance,0,0,0,,,FNLT,2027-08-26,Fictional planning estimate,0.85,1.25,2027-08-26,2027-08-26,2027-09-21,2027-09-21
